"tid","s1","s2","s3","s4","s5","thematicheading"
"1013","AJ","03","c","03","b","Quality of being incombustible"
"1014","AJ","03","c","03","c","Extinguishing fire"
"1015","AJ","04",,,,"Constitution of matter"
"1016","AJ","04","a",,,"Density/solidity"
"1017","AJ","04","a","01",,"State of being thick enough to retain form"
"1018","AJ","04","a","02",,"Viscosity"
"1019","AJ","04","b",,,"Lack of density"
"1020","AJ","04","c",,,"Granular texture"
"1021","AJ","04","d",,,"Other specific kinds of texture"
"1022","AJ","04","e",,,"Strength"
"1023","AJ","04","f",,,"Weakness"
"1024","AJ","04","g",,,"Hardness"
"1025","AJ","04","h",,,"Softness"
"1026","AJ","04","h","01",,"Types of softness"
"1027","AJ","04","h","02",,"Pliableness"
"1028","AJ","04","i",,,"Unctuousness"
"1029","AJ","05",,,,"Liquid"
"1030","AJ","05","a",,,"Making liquid/melting"
"1031","AJ","05","b",,,"Water"
"1032","AJ","05","c",,,"Moisture/humidity"
"1033","AJ","05","d",,,"Condition of being/making wet"
"1034","AJ","05","d","01",,"Condition of being slightly wet"
"1035","AJ","05","d","02",,"Condition of being/making very wet"
"1036","AJ","05","d","03",,"Condition of being submerged/action of submerging"
"1037","AJ","05","e",,,"Action/process of absorbing"
"1038","AJ","05","f",,,"Action/process of extracting"
"1039","AJ","05","g",,,"Liquid which has been emitted"
"1040","AJ","05","h",,,"Action/process of flowing"
"1041","AJ","05","h","01",,"Action/fact of pouring/being poured"
"1042","AJ","05","h","02",,"Action/process of squirting/issuing in a jet"
"1043","AJ","05","h","03",,"Action/process of spraying"
"1044","AJ","05","h","04",,"Action/process of splashing"
"1045","AJ","05","h","05",,"Action/process of sprinkling"
"1046","AJ","05","h","06",,"Action/process of dripping/falling in drops"
"1047","AJ","05","i",,,"Fact of being still/not flowing"
"1048","AJ","05","j",,,"Action/process of floating"
"1049","AJ","05","k",,,"Dryness"
"1050","AJ","06",,,,"Gas"
"1051","AJ","06","a",,,"Becoming/making into gas"
"1052","AJ","06","b",,,"Gas/air in liquid/effervescence"
"1053","AJ","06","c",,,"Air"
"1054","AJ","06","c","01",,"Moving air"
"1055","AJ","06","c","02",,"Fresh air"
"1056","AJ","07",,,,"Physics"
"1057","AJ","07","a",,,"Mechanics"
"1058","AJ","07","a","01",,"Force"
"1059","AJ","07","a","01","a","Stress/force exerted and tending to deform"
"1060","AJ","07","a","01","b","Gravity"
"1061","AJ","07","a","02",,"Fluid mechanics"
"1062","AJ","07","a","03",,"Dynamics"
"1063","AJ","07","a","03","a","Fluid dynamics"
"1064","AJ","07","a","03","b","Statics"
"1065","AJ","07","a","03","c","Thermodynamics"
"1066","AJ","07","a","04",,"Kinematics"
"1067","AJ","07","a","05",,"Types of motion"
"1068","AJ","07","b",,,"Energy/power of doing work"
"1069","AJ","07","c",,,"Electromagnetic radiation"
"1070","AJ","07","c","01",,"Radio wave"
"1071","AJ","07","c","01","a","Microwave"
"1072","AJ","07","c","02",,"Heat"
"1073","AJ","07","c","03",,"Light"
"1074","AJ","07","c","03","a","Emission of light, radiation"
"1075","AJ","07","c","03","b","Refraction"
"1076","AJ","07","c","03","c","Diffraction"
"1077","AJ","07","c","03","d","Reflection"
"1078","AJ","07","c","03","e","Intensity of light, luminosity"
"1079","AJ","07","c","03","f","Laser"
"1080","AJ","07","c","03","g","Chromatism"
"1081","AJ","07","c","04",,"Science of sound"
"1082","AJ","07","c","04","a","Sound-waves"
"1083","AJ","07","c","04","b","Vibration"
"1084","AJ","07","c","05",,"Electricity"
"1085","AJ","07","c","05","a","Galvanism, voltaism"
"1086","AJ","07","c","05","b","Electric charge, electricity"
"1087","AJ","07","c","05","c","Discharge of electricity"
"1088","AJ","07","c","05","d","Electrically induced magnetism"
"1089","AJ","07","c","05","e","Electric current"
"1090","AJ","07","c","05","f","Resistance"
"1091","AJ","07","c","05","g","Transmission of electricity, conduction"
"1092","AJ","07","c","05","h","Voltage"
"1093","AJ","07","c","05","i","Electrical appliances/devices"
"1094","AJ","07","c","05","j","Circuit"
"1095","AJ","07","c","05","k","Electrical engineering, electrical components"
"1096","AJ","07","c","05","l","Electrical power; incl. generation and distribution"
"1097","AJ","07","c","06",,"Magnetism"
"1098","AJ","07","c","06","a","Magnetic devices/materials"
"1099","AJ","07","c","07",,"Electronics"
"1100","AJ","07","c","07","a","Electronic phenomena"
"1101","AJ","07","c","07","b","Electronic devices/components"
"1102","AJ","07","d",,,"Solid state physics"
"1103","AJ","07","e",,,"Atomic physics"
"1104","AJ","07","e","01",,"Ion"
"1105","AJ","07","e","02",,"Decomposition of light, spectrum"
"1106","AJ","07","e","03",,"Particle physics"
"1107","AJ","07","e","03","a","Particle accelerator"
"1108","AJ","07","e","03","b","Particle avoiding strong interaction (electron, muon, neutrino)"
"1109","AJ","07","e","03","c","Hadron"
"1110","AJ","07","e","03","d","Quark"
"1111","AJ","07","e","03","e","Photon particle"
"1112","AJ","07","f",,,"Atomic nucleus"
"1113","AJ","07","f","01",,"Radioactivity"
"1114","AJ","07","f","01","a","X-rays"
"1115","AJ","07","f","02",,"Measurement of ionizing radiation"
"1116","AJ","07","f","03",,"Radioactive isotope"
"1117","AJ","07","f","04",,"Nuclear fission"
"1118","AJ","07","f","04","a","Nuclear reactor"
"1119","AJ","07","f","04","b","Nuclear fuel"
"1120","AJ","07","f","04","c","Nuclear fusion"
"1121","AJ","07","f","04","d","Nuclear explosion"
"1122","AJ","07","g",,,"Quantum theory"
"1123","AJ","07","g","01",,"Quantum mechanics"
"1124","AJ","07","h",,,"Relativity"
"1125","AJ","07","h","01",,"Space-time"
"1126","AJ","08",,,,"Light"
"1127","AJ","08","a",,,"Intensity of light"
"1128","AJ","08","b",,,"Light emitted in particular manner"
"1129","AJ","08","c",,,"Light emitted under particular conditions"
"1130","AJ","08","d",,,"Illumination"
"1131","AJ","08","e",,,"Reflection"
"1132","AJ","08","f",,,"Naturally occurring light"
"1133","AJ","08","g",,,"Artificial light"
"1134","AJ","08","g","01",,"Artificial light defined by light-source"
"1135","AJ","08","g","01","a","Electric light"
"1136","AJ","08","g","02",,"Torch"
"1137","AJ","08","g","03",,"Candle"
"1138","AJ","08","h",,,"Firework"
"1139","AJ","08","i",,,"Transparency/translucence"
"1140","AJ","08","i","01",,"Opacity"
"1141","AJ","08","j",,,"Darkness/absence of light"
"1142","AJ","08","j","01",,"Dimness/absence of brightness"
"1143","AJ","08","j","02",,"Darkness/gloom"
"1144","AJ","08","j","03",,"Intercepting/cutting off of light"
"1145","AJ","09",,,,"Colour"
"1146","AJ","09","a",,,"Quality of colour"
"1147","AJ","09","b",,,"State/mode of having colour"
"1148","AJ","09","b","01",,"Absence of colour"
"1149","AJ","09","c",,,"Colouring"
"1150","AJ","09","c","01",,"Painting"
"1151","AJ","09","c","02",,"Dyeing"
"1152","AJ","09","c","03",,"Colouring matter"
"1153","AJ","09","d",,,"Science of colour"
"1154","AJ","09","e",,,"Named colours"
"1155","AJ","09","e","01",,"White/whiteness"
"1156","AJ","09","e","01","a","Whitening"
"1157","AJ","09","e","02",,"Black/blackness"
"1158","AJ","09","e","02","a","Making/becoming black"
"1159","AJ","09","e","03",,"Red/redness"
"1160","AJ","09","e","03","a","Making/becoming red"
"1161","AJ","09","e","03","b","Red colouring matter"
"1162","AJ","09","e","04",,"Green/greenness"
"1163","AJ","09","e","05",,"Yellow/yellowness"
"1164","AJ","09","e","05","a","Making yellow"
"1165","AJ","09","e","05","b","Colouring matter"
"1166","AJ","09","e","06",,"Blue/blueness"
"1167","AJ","09","e","06","a","Blue colouring matter"
"1168","AJ","09","e","07",,"Brown/brownness"
"1169","AJ","09","e","08",,"Grey/greyness"
"1170","AJ","09","e","09",,"Purple/purpleness"
"1171","AJ","09","e","10",,"Orange"
"1172","AJ","09","f",,,"Variegation"
"1173","AJ","09","f","01",,"Iridescence"
"1174","AJ","09","f","02",,"Stripiness"
"1175","AJ","09","f","03",,"Spot of colour"
"1176","AJ","10",,,,"Condition of matter"
"1177","AJ","10","a",,,"State of being undecayed"
"1178","AJ","10","b",,,"Bad condition of matter"
"1179","AK",,,,,"Existence and causation"
"1180","AK","01",,,,"Existence"
"1181","AK","01","a",,,"Non-existence"
"1182","AK","01","b",,,"Reality/real existence/actuality"
"1183","AK","01","c",,,"Substantiality/concreteness"
"1184","AK","01","c","01",,"Unsubstantiality/abstractness"
"1185","AK","01","d",,,"Materiality"
"1186","AK","01","d","01",,"Immateriality"
"1187","AK","01","e",,,"Intrinsicality/inherence"
"1188","AK","01","e","01",,"Essence/intrinsic nature"
"1189","AK","01","e","02",,"Character/nature"
"1190","AK","01","e","03",,"Introduction/bringing in"
"1191","AK","01","f",,,"Extrinsicality/externality"
"1192","AK","01","f","01",,"Objectivity"
"1193","AK","01","g",,,"State/condition"
"1194","AK","01","g","01",,"Circumstance/circumstances"
"1195","AK","01","g","02",,"Tendency"
"1196","AK","01","g","03",,"Infiniteness"
"1197","AK","02",,,,"Creation"
"1198","AK","02","a",,,"Productiveness"
"1199","AK","02","a","01",,"Unproductiveness"
"1200","AK","02","b",,,"Destruction"
"1201","AK","02","b","01",,"Breaking/cracking"
"1202","AK","02","b","02",,"Cutting"
"1203","AK","02","b","03",,"Tearing/tearing apart"
"1204","AK","02","b","04",,"Biting"
"1205","AK","02","b","05",,"Damage"
"1206","AK","02","b","06",,"Rubbing/friction"
"1207","AK","02","b","07",,"Pressing/pressure/squeezing"
"1208","AK","02","b","08",,"Grinding/pounding"
"1209","AK","03",,,,"Cause"
"1210","AK","03","a",,,"Cause/reason"
"1211","AK","03","b",,,"Source/origin"
"1212","AK","03","c",,,"Basis/foundation"
"1213","AK","03","d",,,"Initiating/causing to begin"
"1214","AK","03","e",,,"Attribution/assignment of cause"
"1215","AK","03","f",,,"Effect/result/consequence"
"1216","AK","03","g",,,"Chance/causelessness"
"1217","AK","04",,,,"Present events"
"1218","AK","04","a",,,"Future events"
"1219","AL",,,,,"Space"
"1220","AL","01",,,,"Distance"
"1221","AL","01","a",,,"Distance/farness"
"1222","AL","01","b",,,"Nearness"
"1223","AL","02",,,,"Extension in space"
"1224","AL","02","a",,,"Spreading/diffusion"
"1225","AL","02","b",,,"Expansion/enlargement"
"1226","AL","02","c",,,"Reduction in size/extent"
"1227","AL","02","d",,,"Measurable spatial extent"
"1228","AL","02","d","01",,"Largeness"
"1229","AL","02","d","02",,"Smallness"
"1230","AL","02","d","03",,"Longitudinal extent"
"1231","AL","02","d","04",,"Breadth/width"
"1232","AL","02","d","05",,"Thickness"
"1233","AL","02","d","06",,"Vertical extent"
"1234","AL","03",,,,"Shape"
"1235","AL","03","a",,,"Lack of shape"
"1236","AL","03","b",,,"Mis-shapenness"
"1237","AL","03","c",,,"Symmetry/regularity"
"1238","AL","03","d",,,"Straightness"
"1239","AL","03","e",,,"Angularity"
"1240","AL","03","e","01",,"Specific angular shape"
"1241","AL","03","f",,,"Curvature"
"1242","AL","03","f","01",,"Types of curvature"
"1243","AL","03","f","02",,"Roundness"
"1244","AL","03","f","03",,"Coil"
"1245","AL","03","f","04",,"Curved three-dimensional shape/body, cylinder"
"1246","AL","03","f","05",,"Curved surface"
"1247","AL","03","g",,,"Flatness/levelness"
"1248","AL","03","g","01",,"Smoothness"
"1249","AL","03","h",,,"Unevenness"
"1250","AL","03","h","01",,"Projection/prominence, rough surface"
"1251","AL","03","h","02",,"Condition/fact of receding"
"1252","AL","03","h","03",,"Hollowness"
"1253","AL","03","i",,,"Fact/condition of tapering"
"1254","AL","03","j",,,"Sharpness of edge/point"
"1255","AL","03","k",,,"Bluntness"
"1256","AL","04",,,,"Place"
"1257","AL","04","a",,,"Position/situation"
"1258","AL","04","b",,,"Here/there, etc."
"1259","AL","04","c",,,"Presence"
"1260","AL","04","c","01",,"Fact of taking up space"
"1261","AL","04","d",,,"Absence"
"1262","AL","04","d","01",,"Fact of being unoccupied"
"1263","AL","04","e",,,"Placing/fact of being placed in (a) position"
"1264","AL","04","e","01",,"Insertion/putting in"
"1265","AL","04","f",,,"Removal/displacement"
"1266","AL","04","f","01",,"Extraction"
"1267","AL","05",,,,"Relative position"
"1268","AL","05","a",,,"Condition of being internal"
"1269","AL","05","b",,,"Central condition/position"
"1270","AL","05","c",,,"Condition of being external"
"1271","AL","05","c","01",,"Surface"
"1272","AL","05","c","02",,"Edge/border/margin, boundary"
"1273","AL","05","c","03",,"Surrounding"
"1274","AL","05","c","04",,"Enclosing/enclosure"
"1275","AL","05","c","05",,"Covering, wrapping, coating with a layer"
"1276","AL","05","c","06",,"Uncovering"
"1277","AL","05","d",,,"Condition of being open/not closed"
"1278","AL","05","d","01",,"An opening/aperture"
"1279","AL","05","d","02",,"Making holes/becoming holed"
"1280","AL","05","e",,,"Closed/shut condition"
"1281","AL","05","e","01",,"A barrier"
"1282","AL","05","f",,,"Condition/fact of being interjacent"
"1283","AL","05","g",,,"High position"
"1284","AL","05","h",,,"Low position"
"1285","AL","05","i",,,"Support"
"1286","AL","05","i","01",,"Hanging/suspension"
"1287","AL","05","i","02",,"Absence of support"
"1288","AL","05","j",,,"Front"
"1289","AL","05","k",,,"Position at the back"
"1290","AL","05","l",,,"Quality of having sides/being a side"
"1291","AL","05","m",,,"End/extremity"
"1292","AL","05","n",,,"Vertical position"
"1293","AL","05","o",,,"Horizontal position/condition"
"1294","AL","05","p",,,"Inclination"
"1295","AL","05","q",,,"Fact/condition of being transverse"
"1296","AL","05","q","01",,"Intersection"
"1297","AL","05","r",,,"Opposite position"
"1298","AL","05","s",,,"Inversion"
"1299","AL","05","t",,,"Folding/folded condition"
"1300","AL","05","u",,,"Intertwining/interweaving"
"1301","AL","05","v",,,"Arrangement/fact of being arranged"
"1302","AL","05","v","01",,"Absence of arrangement"
"1303","AL","05","v","02",,"State of being gathered together, assembled"
"1304","AL","05","v","03",,"State of being scattered/dispersed"
"1305","AL","05","w",,,"Posture"
"1306","AL","05","w","01",,"Action of standing up/rising"
"1307","AL","05","w","02",,"Action/fact of sitting"
"1308","AL","05","w","03",,"Action/act of kneeling"
"1309","AL","05","w","04",,"Action/fact of lying down/reclining"
"1310","AL","05","w","05",,"Action/fact of bending"
"1311","AL","05","w","06",,"Action/fact of stretching body"
"1312","AL","06",,,,"Direction"
"1313","AL","06","a",,,"Specific directions"
"1314","AM",,,,,"Time"
"1315","AM","01",,,,"Spending time"
"1316","AM","02",,,,"Duration"
"1317","AM","02","a",,,"Eternity/infinite duration"
"1318","AM","02","b",,,"Shortness/brevity in time"
"1319","AM","02","b","01",,"Swift movement of time"
"1320","AM","03",,,,"Particular time"
"1321","AM","03","a",,,"An anniversary"
"1322","AM","04",,,,"Period"
"1323","AM","04","a",,,"Year"
"1324","AM","04","a","01",,"Season"
"1325","AM","04","b",,,"A month/calendar month"
"1326","AM","04","c",,,"A week"
"1327","AM","04","d",,,"A day/twenty-four hours"
"1328","AM","04","e",,,"Cycle of time"
"1329","AM","05",,,,"Day and night"
"1330","AM","05","a",,,"Day/day-time"
"1331","AM","05","b",,,"Night"
"1332","AM","06",,,,"Instruments for measuring time"
"1333","AM","06","a",,,"Clock"
"1334","AM","06","b",,,"Watch"
"1335","AM","07",,,,"Reckoning of time"
"1336","AM","07","a",,,"Chronology"
"1337","AM","07","b",,,"Calendar"
"1338","AM","08",,,,"Relative time"
"1339","AM","08","a",,,"Immediacy"
"1340","AM","08","b",,,"The present (time)"
"1341","AM","08","c",,,"The past"
"1342","AM","08","c","01",,"Historical period"
"1343","AM","08","c","02",,"Antecedence/being earlier"
"1344","AM","08","c","03",,"Oldness/ancientness"
"1345","AM","08","c","04",,"History/knowledge about the past"
"1346","AM","08","d",,,"The future/time to come"
"1347","AM","08","d","01",,"Succession/following in time"
"1348","AM","08","d","02",,"Newness/novelty, recency"
"1349","AM","09",,,,"Suitable time/opportunity"
"1350","AM","09","a",,,"Untimeliness"
"1351","AM","09","a","01",,"Delay/postponement"
"1352","AM","10",,,,"Frequency"
"1353","AM","10","b",,,"Infrequency"
"1354","AM","11",,,,"Change"
"1355","AM","11","a",,,"Changeableness"
"1356","AM","11","b",,,"Change to something else, transformation"
"1357","AM","11","c",,,"Alternation"
"1358","AM","11","d",,,"Exchange"
"1359","AM","11","d","01",,"Substitution"
"1360","AM","11","e",,,"Absence of change, changelessness"
"1361","AM","11","e","01",,"Lasting quality, permanence"
"1362","AN",,,,,"Movement"
"1363","AN","01",,,,"Bodily movement"
"1364","AN","02",,,,"Motion in specific manner"
"1365","AN","02","a",,,"Sudden movement"
"1366","AN","02","b",,,"Alternating/reciprocating motion"
"1367","AN","02","b","01",,"Oscillation, vibration"
"1368","AN","02","c",,,"Irregular movement/agitation"
"1369","AN","02","c","01",,"Unsteady movement"
"1370","AN","02","d",,,"Writhing/twisting movement"
"1371","AN","02","e",,,"Revolution/rotation"
"1372","AN","03",,,,"Progressive motion"
"1373","AN","03","a",,,"Walking"
"1374","AN","03","b",,,"Moving along with hands and feet/with body prone"
"1375","AN","03","c",,,"Moving with current of air/water"
"1376","AN","03","c","01",,"Movement in/on water"
"1377","AN","03","c","02",,"Motion in the air"
"1378","AN","03","d",,,"Order of movement"
"1379","AN","03","d","01",,"Going first/in front"
"1380","AN","03","d","02",,"Following behind"
"1381","AN","04",,,,"Rate of motion"
"1382","AN","04","a",,,"Swiftness"
"1383","AN","04","a","01",,"Going swiftly on foot"
"1384","AN","04","a","02",,"Swift movement in specific manner"
"1385","AN","04","b",,,"Slowness"
"1386","AN","05",,,,"Motion in a certain direction"
"1387","AN","05","a",,,"A straight course"
"1388","AN","05","b",,,"Change of direction of movement"
"1389","AN","05","c",,,"Movement in circle/curve"
"1390","AN","05","d",,,"Forward movement"
"1391","AN","05","e",,,"Backward movement"
"1392","AN","05","f",,,"Sideways movement/a sideways movement"
"1393","AN","05","g",,,"Upward movement"
"1394","AN","05","g","01",,"Raising"
"1395","AN","05","g","02",,"Leaping/springing/jumping"
"1396","AN","05","h",,,"Downward motion"
"1397","AN","05","h","01",,"Falling"
"1398","AN","05","h","02",,"Causing to come/go down"
"1399","AN","05","i",,,"Movement over/across/through/past"
"1400","AN","05","j",,,"Going/coming in"
"1401","AN","05","k",,,"Going/coming out"
"1402","AN","05","k","01",,"Letting/sending out"
"1403","AN","05","l",,,"Movement towards a thing/person/position"
"1404","AN","05","l","01",,"Meeting/encounter"
"1405","AN","05","l","02",,"Reaching a point/place"
"1406","AN","05","m",,,"Going away"
"1407","AN","05","m","01",,"Causing to go away"
"1408","AN","06",,,,"Transference"
"1409","AN","07",,,,"Impelling/driving"
"1410","AN","07","a",,,"Projecting through space/throwing"
"1411","AN","07","b",,,"Pushing and pulling"
"1412","AN","08",,,,"Impact"
"1413","AN","08","a",,,"Striking"
"1414","AN","08","a","01",,"Beating/repeated striking"
"1415","AN","08","a","02",,"Striking with specific degree of force"
"1416","AN","08","a","03",,"Striking in specific manner"
"1417","AN","08","a","04",,"Striking with specific thing"
"1418","AN","09",,,,"Absence of movement"
"1419","AN","09","a",,,"Hold/holding"
"1420","AN","10",,,,"Restlessness"
"1421","AO",,,,,"Action/operation"
"1422","AO","01",,,,"Operation upon something"
"1423","AO","02",,,,"Doing"
"1424","AO","02","a",,,"Practice/exercise"
"1425","AO","02","b",,,"Activity/occupation"
"1426","AO","02","b","01",,"Acting in another's business/intervention"
"1427","AO","03",,,,"Undertaking"
"1428","AO","03","a",,,"Preparation"
"1429","AO","03","a","01",,"Unpreparedness"
"1430","AO","04",,,,"Beginning action/activity"
"1431","AO","05",,,,"Repeating"
"1432","AO","06",,,,"Continuing"
"1433","AO","06","a",,,"Progress/advance/further continuance"
"1434","AO","07",,,,"Carrying out"
"1435","AO","08",,,,"Completing"
"1436","AO","08","a",,,"Non-completion"
"1437","AO","09",,,,"Ceasing"
"1438","AO","09","a",,,"Temporary cessation of activity/operation"
"1439","AO","10",,,,"Inaction"
"1440","AO","10","a",,,"Quietness/tranquillity"
"1441","AO","10","b",,,"Not doing"
"1442","AO","10","b","01",,"Abstaining/refraining from action"
"1443","AO","10","c",,,"Idleness/lack of occupation/activity"
"1444","AO","10","d",,,"Disinclination to act/listlessness"
"1445","AO","10","d","01",,"Sloth/laziness"
"1446","AO","11",,,,"Endeavour"
"1447","AO","11","a",,,"Trial/experiment"
"1448","AO","11","a","01",,"Trial/test/testing"
"1449","AO","11","b",,,"Searching/seeking"
"1450","AO","11","b","01",,"Finding/discovery"
"1451","AO","12",,,,"Difficulty"
"1452","AO","12","a",,,"Types of difficulty"
"1453","AO","12","b",,,"Practical impossibility"
"1454","AO","12","c",,,"Hindrance"
"1455","AO","12","c","01",,"Types/manners of hindrance"
"1456","AO","12","c","02",,"Hindering completely/preventing"
"1457","AO","12","d",,,"Opposition"
"1458","AO","12","d","01",,"Absence of resistance"
"1459","AO","13",,,,"Easiness"
"1460","AO","13","a",,,"Support"
"1461","AO","13","a","01",,"Support/encouragement"
"1462","AO","13","b",,,"Intercession/influence on someone's behalf"
"1463","AO","14",,,,"Amending"
"1464","AO","14","a",,,"Restoration"
"1465","AO","14","a","01",,"Restoration of a person"
"1466","AO","15",,,,"Advantage"
"1467","AO","15","a",,,"Usefulness"
"1468","AO","15","a","01",,"Use (made of things)"
"1469","AO","15","b",,,"Efficacy"
"1470","AO","15","c",,,"Convenience"
"1471","AO","15","d",,,"Expediency"
"1472","AO","15","e",,,"An opportunity"
"1473","AO","16",,,,"Safety"
"1474","AO","16","a",,,"Protection/defence"
"1475","AO","16","a","01",,"Preservation from injury/destruction"
"1476","AO","16","a","02",,"Refuge/shelter"
"1477","AO","16","a","03",,"Vigilance"
"1478","AO","16","a","04",,"Watching/keeping guard/watchful guard"
"1479","AO","16","a","05",,"Care/protection/charge"
"1480","AO","16","b",,,"Rescue/deliverance"
"1481","AO","16","c",,,"Escape"
"1482","AO","17",,,,"Prosperity"
"1483","AO","17","a",,,"Advancement/progress"
"1484","AO","17","a","01",,"Outdoing/surpassing"
"1485","AO","17","b",,,"Success"
"1486","AO","17","b","01",,"Mastery/superiority"
"1487","AO","17","b","02",,"Token of victory/supreme excellence"
"1488","AO","18",,,,"Harm/detriment"
"1489","AO","18","a",,,"Hostile action/attack"
"1490","AO","18","b",,,"Disadvantage"
"1491","AO","18","b","01",,"Uselessness"
"1492","AO","18","b","02",,"Misuse"
"1493","AO","18","b","03",,"Non-use"
"1494","AO","18","c",,,"Danger"
"1495","AO","18","c","01",,"Warning of imminent danger/evil"
"1496","AO","18","c","02",,"Threat/threatening"
"1497","AO","19",,,,"Adversity"
"1498","AO","19","a",,,"Calamity/misfortune"
"1499","AO","20",,,,"Failure/lack of success"
"1500","AO","20","a",,,"Defeat/overthrow"
"1501","AO","21",,,,"Manner of action"
"1502","AO","21","a",,,"Vigour/energy"
"1503","AO","21","b",,,"Effort/exertion"
"1504","AO","21","c",,,"Violent action/operation"
"1505","AO","21","c","01",,"Severity"
"1506","AO","21","d",,,"Lack of violence/severity/intensity"
"1507","AO","21","e",,,"Speed of action/operation"
"1508","AO","21","f",,,"Slowness of action/operation"
"1509","AO","21","g",,,"Care/carefulness/attention"
"1510","AO","21","g","01",,"Caution"
"1511","AO","21","h",,,"Carelessness"
"1512","AO","21","h","01",,"Incautiousness"
"1513","AO","22",,,,"Behaviour"
"1514","AO","22","a",,,"A standard of conduct"
"1515","AO","22","b",,,"Customary/habitual mode of behaviour"
"1516","AO","22","b","01",,"Unaccustomedness"
"1517","AO","22","c",,,"Good behaviour"
"1518","AO","22","c","01",,"Courtesy"
"1519","AO","22","c","02",,"Kindness, gentleness, mildness"
"1520","AO","22","c","03",,"Restrained/moderate behaviour"
"1521","AO","22","d",,,"Bad behaviour"
"1522","AO","22","d","01",,"Discourtesy"
"1523","AO","22","d","02",,"Unkindness"
"1524","AO","22","d","03",,"Harshness/severity"
"1525","AO","22","d","04",,"Fierceness"
"1526","AO","22","d","05",,"Ill-treatment"
"1527","AO","22","d","06",,"Violent behaviour"
"1528","AO","22","d","07",,"Lack of moderation/restraint"
"1529","AO","22","e",,,"Affected behaviour/affectation"
"1530","AO","22","f",,,"Unaffectedness/naturalness"
"1531","AO","22","g",,,"Reciprocal treatment/return of an action"
"1532","AO","22","g","01",,"Reward/a reward"
"1533","AO","22","g","02",,"Revenge"
"1534","AO","23",,,,"Ability"
"1535","AO","23","a",,,"Skill/skilfulness"
"1536","AO","23","a","01",,"Cunning"
"1537","AO","23","b",,,"Inability"
"1538","AO","23","b","01",,"Unskilfulness"
"1539","AP",,,,,"Relative properties"
"1540","AP","01",,,,"Relation/relationship"
"1541","AP","01","a",,,"Non-relation"
"1542","AP","01","b",,,"Relevance/pertinence"
"1543","AP","01","c",,,"Correlation"
"1544","AP","01","d",,,"Identity"
"1545","AP","01","e",,,"Contrariety/contrast"
"1546","AP","01","f",,,"Difference"
"1547","AP","01","g",,,"Uniformity"
"1548","AP","01","h",,,"Variety"
"1549","AP","01","i",,,"Similarity"
"1550","AP","01","j",,,"Imitation"
"1551","AP","01","j","01",,"Non-imitation/originality"
"1552","AP","01","k",,,"Equality/equivalence"
"1553","AP","01","k","01",,"Inequality"
"1554","AP","01","k","02",,"Condition of being mean/average"
"1555","AP","01","l",,,"Accompaniment"
"1556","AP","02",,,,"Kind/sort"
"1557","AP","02","a",,,"Generality"
"1558","AP","02","a","01",,"Condition/state of being inclusive"
"1559","AP","02","b",,,"Individual character/quality"
"1560","AP","02","b","01",,"An individual case/instance"
"1561","AP","02","b","02",,"Quality of being special/restricted in application"
"1562","AP","02","b","03",,"The quality of being specific"
"1563","AP","02","b","04",,"Quality of being special/extraordinary"
"1564","AP","02","b","05",,"Quality of being exclusive"
"1565","AP","03",,,,"Order"
"1566","AP","03","a",,,"Agreement/harmony/congruity"
"1567","AP","03","a","01",,"Suitability/appropriateness"
"1568","AP","03","a","02",,"Conformity to/with a pattern etc."
"1569","AP","03","a","03",,"Adaptation/adjustment"
"1570","AP","03","b",,,"Disorder"
"1571","AP","03","b","01",,"Confusion/disorder"
"1572","AP","03","b","01","a","Entanglement/entangled state, complication/complexity"
"1573","AP","03","b","01","b","Untidiness"
"1574","AP","03","b","01","c","Commotion/disturbance/disorder"
"1575","AP","03","b","02",,"Irregularity"
"1576","AP","03","b","02","a","Unconformity, abnormality"
"1577","AP","03","b","03",,"Disharmony/incongruity"
"1578","AP","03","b","03","a","Unsuitability/inappropriateness"
"1579","AP","03","c",,,"Order/sequence/succession"
"1580","AP","03","c","01",,"Preceding/following in order"
"1581","AP","03","c","02",,"Beginning"
"1582","AP","03","c","03",,"End/conclusion"
"1583","AP","03","c","04",,"Continuity/uninterruptedness"
"1584","AP","03","c","05","a","Discontinuity/interrupted sequence/condition"
"1585","AP","04",,,,"Number"
"1586","AP","04","a",,,"One"
"1587","AP","04","a","01",,"Unity/undividedness"
"1588","AP","04","a","02",,"Firstness"
"1589","AP","04","b",,,"Two"
"1590","AP","04","b","01",,"Division into two"
"1591","AP","04","c",,,"Three"
"1592","AP","04","d",,,"Four"
"1593","AP","04","e",,,"Five"
"1594","AP","04","f",,,"Ten"
"1595","AP","04","g",,,"Eleven to ninety-nine"
"1596","AP","04","h",,,"Hundred and over"
"1597","AP","04","i",,,"Plurality"
"1598","AP","04","i","01",,"Fewness"
"1599","AP","04","i","02",,"Great number, numerousness"
"1600","AP","04","j",,,"Mathematics"
"1601","AP","04","k",,,"Mathematical number/quantity"
"1602","AP","04","k","01",,"Numerical arrangement"
"1603","AP","04","l",,,"Mathematical notation/symbol"
"1604","AP","04","m",,,"Enumeration/reckoning/calculation"
"1605","AP","04","n",,,"Arithmetic"
"1606","AP","04","o",,,"Algebra"
"1607","AP","04","p",,,"Arithmetic/algebraic operations"
"1608","AP","04","q",,,"Ratio/proportion"
"1609","AP","04","r",,,"Calculus"
